
PART IV. TRANSACTIONS																		
Reporting Individual's Name ^			Senator Orrin G. Hatch									Page Number ^					6	
					Transaction Type (x)			Amount of Transaction (x)										
Report any purchase, sale, or exchange by you, your spouse, or dependent child (See p.3 CONTENTS OF REPORTS Part B of Instructions) during the reporting period of any real property, stocks, bonds, commodity futures, and other securities when the amount of the transaction exceeded $1,000. Include transactions that resulted in a loss. Do not report a transaction involving property used solely as your personal residence, or a transaction between you, your spouse, or dependent child. Please clarify which two properties are involved in any reportable exchange.					Purchase	OJ a	Exchange	51,001-$15,000	$15,001-$50,000	$50,001 - $100,000	$100,001 -$250,000	| •	§ 1' • |	I 1 £ 1	§ C5 s in § g d	0 8 § 1 § a 8	§ i § § IT) &	8 : O 8" 0 1 □5 5
Identification of Assets				Transaction Date I														
S	Ex-	IBM Corp. (stock) NYSE		2/1/OX |	I x				X			E	*	a	m	P	t	e
DC or J	ample	Microsoft (stock) NASDAQ/OTC		1/27/OX		X					X	E	*	a	m	P	/	e
97	Neuberger Berman Equity Income Fund			01/24/11	X			>	X									
98	Ivy Asset Strategy Fund			01/24/11	X			X										
99	Ivy Global Natural Resources Fund			01/24/11		X		X										
100	Pimco Total Return Fund			01/24/11		X				X								
101	Mainstay Funds High Yield Corp Bond			01/24/11	X				X									
102	Blackrock Global Allocation Fund Inc			01/24/11	X			X										
103	Loomis Sayles Investment Grade Bond Fund			01/24/11		X		X										
104	Putnam Diversified Income Trust			01/24/11	X				X									
105	Putnam Voyager Fund Inc			01/24/11	X				X									
106	FT Templeton Global Bond			01/24/11		X			X									
